codice,descrizione,quantita,id,esploso
1108001-Y01,Acceleration System,1,,Y0205001
1108010-Y01,Electrical accelerator pedal,1,1,Y0205001
Q1860625,Hexagon bolt with flange,3,2,Y0205001
2101000Y0205,Power battery assy,,,Y0205002
2101000-Y0201,Power Battery Assy (with battery lock) (ENI customized version),,,Y0205002
2101010Y0205,Power battery box,1,1,Y0205002
2101010Y0201,Power battery box,,,Y0205002
2101013-Y01,Anti-friction bushing,6,1-2,Y0205002
2101017-Y01,Anti-theft bolt  battery box,2,1-3,Y0205002
2101018-Y01,Cover plate  battery box,1,1-4,Y0205002
2101018Y0201,Cover plate  battery box (with battery lock） (ENI customized version),,,Y0205002
2101019-Y01,Battery positive wire harness,1,1-5,Y0205002
210101AY0205,Battery negative wiring harness,1,1-6,Y0205002
210101B-Y01,Battery box fast-plug,1,1-7,Y0205002
210101CY0205,Battery box communication wiring harness,1,1-8,Y0205002
210101H-Y01,Module connecting line,2,1-9,Y0205002
Q174B0614T1F,M6*14-304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,6,1-10,Y0205002
Q174B0425T1F,M4* 25- 304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,12,1-11,Y0205002
Q174B0410T1F,M4*10-304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,8,1-12,Y0205002
5306142-Y01,Sponge strip (W12* T5),,1-13,Y0205002
Q1461025,M10×25 Cross recessed hexagon bolt with indentation  single coil lock washer and plain washer assemblies,4,,Y0205002
2101020Y0205,Power battery module,3,3,Y0205003
2101011Y0205,Battery sampling unit（ BSU）,1,3-1,Y0205003
2109013Y0205,Left mounting bracket  BSU        ,1,3-2,Y0205003
2109014Y0205,Right mounting bracket  BSU,1,3-3,Y0205003
2101030-Y01,Switching mode special socket ,1,,
2101030Y0201,Battery box assy (ENI customized version),1,,
Q174B0530T1F,M5*30-304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,4,,
Q174B0310T1F,M3*10-304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,3,,
2109010Y0205,Control box  power system (formerly HV box),1,4,Y0205004
2109011-Y01,HV box casing,1,04-gen,Y0205004
2109211-Y01,HV box cover,1,04-feb,Y0205004
Q174B0410T1F,M4*10-304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,8,04-mar,Y0205004
2109119Y0205,Splitter,1,4-4,Y0205004
Q174B0416T1F,M4*16-304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,1,04-mag,Y0205004
Q304B04,Outer hexagonal nut,1,04-giu,Y0205004
2101012-Y01,HV sampling case,1,04-lug,Y0205004
Q174B0414T1F,M4* 14- 304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,4,04-ago,Y0205004
Q32004,Hexagon nut with flange,4,4-9,Y0205004
2109015-Y01,150A relay,1,4-10,Y0205004
Q174B0620T1F,M6* 20- 304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,2,04-nov,Y0205004
2109016-Y01,50A relay,1,4-12,Y0205004
Q174B0620T1F,M6* 20- 304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,2,04-ott,Y0205004
S32006003,hexagon nut with flange,2,4-13,Y0205004
2109017-Y01,20A relay,2,4-14,Y0205004
Q174B0416T1F,M4*16-304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,4,04-mag,Y0205004
Q32004,Hexagon nut with flange,4,apr-15,Y0205004
2109018-Y01,300A 750V slow-blow fuse,1,4-16,Y0205004
Q174B0818T1F,M8*18-304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,2,apr-17,Y0205004
2109119-Y01,50A 750V slow-blow fuse,1,apr-18,Y0205004
Q174B0614T1F,M6*14-304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,2,apr-19,Y0205004
2109111-Y01,20A 750V slow-blow fuse,1,apr-20,Y0205004
Q174B0614T1F,M6*14-304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,2,apr-19,Y0205004
2109112-Y01,75Ω 100W pre-charge resistance,1,apr-21,Y0205004
Q174B0414T1F,M4* 14- 304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,6,04-giu,Y0205004
Q32004,Hexagon nut with flange,6,04-set,Y0205004
Q174B0614T1F,M6*14-304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,2,apr-19,Y0205004
2109113Y0205,Communications wiring harness  high-voltage box,1,apr-23,Y0205004
S14606005,Hexagon bolt  spring washer and plain washer assy M6×16,4,,Y0205004
2103000-Y01,Drive Motor Assembly,1,,Y0205005
2103010-Y01,Motor (7.5KW),1,1,Y0205005
Q1841255,Hexagon bolt with flange,4,2,Y0205005
S40312001,Spring washer,4,3,Y0205005
Q401B12,Plain washer,4,4,Y0205005
S34012001,Hexagon nuts  style 1,4,5,Y0205005
2103020-Y01,Phase line pressing plate,1,6,Y0205005
S32006003,hexagon nut with flange,2,7,Y0205005
2105000Y0205,High-Voltage Wiring Harness Assy,1,,Y0205006
2105010-Y01,Positive wiring harness  motor controller,1,1,Y0205006
2105020-Y01,Negative wiring harness  motor controller,1,2,Y0205006
2105030Y0205,High voltage wiring harness  auxiliary system,1,3,Y0205006
2105040-Y01,Double-pipe clamping piece (Ф34),2,4,Y0205006
