codice,descrizione,quantita,id,esploso
1,1108010Y0210,Electrical accelerator pedal,1,Y02100001
2,S18606002,Hexagon bolt with flange M6,3,Y02100001
1,2801100Y0210,Front auxiliary frame assy,1,Y02100002
1,2801100Y0211,Front auxiliary frame assy,1,Y02100002
2,S18510001,Hexagon bolt with flange,8,Y02100002
3,2904100Y0210,Front swing arm assembly,2,Y02100002
4,2906101Y0210,Front stabilizer bar,1,Y02100002
5,2906102-Y01,Stabilizer bar bushing,2,Y02100002
6,2906103Y0210,Stabilizer bar mounting bracket,2,Y02100002
7,2906105-Y01,Stabilizer bar end bushing,4,Y02100002
8,2906106Y0210,?12 large gasket,2,Y02100002
9,2906107Y0210,?16 large gasket,2,Y02100002
10,S18510001,Hexagon bolt with flange,4,Y02100002
11,S33110001,Prevailing torque type all-metal hexagon nuts with flange,2,Y02100002
12,S33112001,Prevailing torque type all-metal hexagon nuts with flange,2,Y02100002
13,S18510006,Hexagon bolt with flange,2,Y02100002
14,S33110001,Prevailing torque type all-metal hexagon nuts with flange,4,Y02100002
1,2904101Y0210,Front left shock absorber assembly,1,Y02100003
2,2904102Y0210,Front right shock absorber assembly,1,Y02100003
3,3501101-Y01,Front left brake with steering knuckle assy,1,Y02100003
4,3501111-Y01,Front brake disc,2,Y02100003
5,3501112-Y01,Left steering knuckle,1,Y02100003
6,3501113-Y01,Left brake caliper assy,1,Y02100003
7,3501118-Y01,Gear ring component,2,Y02100003
8,3501119-Y01,Bearing limit bolts,2,Y02100003
9,3501120-Y01,Brake lining,4,Y02100003
10,3501115-Y01,Bracket mounting bolt,4,Y02100003
11,3501102-Y01,Front right brake with steering knuckle assy,1,Y02100003
12,3501122-Y01,Right steering knuckle,1,Y02100003
13,3501123-Y01,Right brake caliper assy,1,Y02100003
14,S18510005,Hexagon bolt with flange,2,Y02100003
15,S18512001,Hexagon bolt with flange,4,Y02100003
16,S33112001,Prevailing torque type all-metal hexagon nuts with flange,4,Y02100003
17,S33110001,Prevailing torque type all-metal hexagon nuts with flange,2,Y02100003
18,S32008002,Hexagon nut with flange,4,Y02100003
1,2912100Y0210,Rear drive axle assy,1,Y02100004
2,2912111Y0210,Axle tube,1,Y02100004
3,2912112Y0210,Final drive assy,1,Y02100004
4,2912113-Y01,Brake caliper-left,1,Y02100004
5,2912114-Y01,Brake caliper-right,1,Y02100004
6,2912129-Y01,Mounting bolt bracket ,4,Y02100004
7,2912115-Y01,Brake lining,4,Y02100004
8,2912116-Y01,Rear brake disc,2,Y02100004
9,S32008002,Hexagon nut with flange,2,Y02100004
10,2912119Y0210,Nut filler plug,1,Y02100004
,2912132Y0210,Gasket filler plug,1,Y02100004
11,2912120Y0210,Nut?drain plug,1,Y02100004
,2912133Y0210,Gasket drain plug,1,Y02100004
12,2912121-Y01,Vent valve,1,Y02100004
13,2912123-Y01,Left halfaxle,1,Y02100004
14,2912124-Y01,Right halfaxle,1,Y02100004
15,2912125-Y01,Oil seal for half shaft,2,Y02100004
16,2912126Y0210,Oil seal input shaft,1,Y02100004
17,2912127-Y01,Circlip for hole,2,Y02100004
18,2912128-Y01,Mudguard,2,Y02100004
19,2912118-Y01,Locking nut brake disc,2,Y02100004
20,Q5004036,Locking pin,2,Y02100004
21,2914300Y0210,Thrust rod assy,2,Y02100004
22,S18512004,Hexagon bolt with flange,6,Y02100004
23,S33112001,Prevailing torque type all-metal hexagon nuts with flange,10,Y02100004
24,S18608003,Hexagon bolt with flange,2,Y02100004
25,2912017Y0210,Motor mounting bracket,1,Y02100004
26,S18608003,Hexagon bolt with flange,2,Y02100004
27,2912130-Y01,Hexagon nut with flange,2,Y02100004
28,2912131-Y01,Hexagon bolt with flange,7,Y02100004
29,2915100Y0210,Rear shock absorber,2,Y02100004
30,S18512001,Hexagon bolt with flange,2,Y02100004
31,S34012001,Hexagon nuts style 1,2,Y02100004
32,S40212002,Large gasket,2,Y02100004
33,S40312001,Spring washer,2,Y02100004
34,2912011Y0210,Rear coil spring,2,Y02100004
35,2912012Y0210,Upper mounting seat of rear spring,2,Y02100004
36,2912013Y0210,Rear buffer block,2,Y02100004
37,2914200Y0210,Rear balance bar,1,Y02100004
38,S18512003,Hexagon bolt with flange,1,Y02100004
39,Q218B0810,Hexagon socket head cap screws,8,Y02100004
40,2906108Y0210,?12 large gasket,1,Y02100004
1,3100100-Y01,14 steel wheel assy,4,Y02100005
,3100110-Y01,15 aluminum wheel assy,,Y02100005
2,3100101-Y01,Tire (155/65-R14),4,Y02100005
,3100111-Y01,Tire  (155/60-R15),,Y02100005
3,3100106-Y01,14 steel wheel,4,Y02100005
,3100105-Y01,15 aluminum wheel (light color),,Y02100005
4,3100102-Y01,Inflating valve,1,Y02100005
,3100113-Y01,Inflating valve ?aluminum wheel?,,Y02100005
5,3106107Y0240,Wheel nut (steel wheel),16,Y02100005
,3106106Y0240,Wheel nut?aluminum wheel?,,Y02100005
6,5306163Y0210,Tire label - 14 ,1,Y02100005
,5306164Y0210,Tire label - 15 ,,Y02100005
7,3100104-Y01,Trim cap of wheel rim,4,Y02100005
8,3100120-Y01,Steel wheel rim trim cap assy,4,Y02100005
,3400000-Y01,Steering  system ,,Y02100006
,3400186Y0210,Zero calibration tool,,Y02100006
1,3400101-Y01,Steering gear with tie rod assembly,1,Y02100006
1,3400101Y0210A,Steering gear with tie rod assembly,1,Y02100006
1,3400101Y0210B,Steering gear with tie rod assembly,1,Y02100006
2,3400111-Y01,Steering gear body with inner tie rod,1,Y02100006
3,3400118-Y01,Buckle bracket,1,Y02100006
4,3400113-Y01,Steering wheel ball head,2,Y02100006
5,3400102-Y01,Steering lower shaft assy,1,Y02100006
5,3400102Y0210,Steering lower shaft assy,1,Y02100006
6,3400103-Y01,Steering column assembly,1,Y02100006
6,3400103Y0210,Steering column assembly,1,Y02100006
7,3400134-Y01,Steering wheel body,1,Y02100006
8,S18608009,Hexagon bolt with flange,2,Y02100006
9,S18608005,Hexagon bolt with flange,1,Y02100006
10,S32008002,Hexagon nut with flange,1,Y02100006
10,Q1860870TF36Y,Hexagon nut with flange,1,Y02100006
11,S38312001,Hexagon slotted nuts style 2,2,Y02100006
12,S50032001,Split pin,2,Y02100006
13,S18608009,Hexagon bolt with flange,2,Y02100006
14,S18510004,Hexagon bolt with flange,2,Y02100006
13,S18512002,Hexagon bolt with flange,2,Y02100006
15,3400135-Y01,Horn hood,1,Y02100006
16,3400123-Y01,Mechanical steering column,1,Y02100006
17,3400124-Y01,Universal joint steering column ,1,Y02100006
18,3400125-Y01,Prevailing torque type all-metal hexagon nuts with flange,1,Y02100006
19,3400126-Y01,Hexagon head bolt,3,Y02100006
20,3400132-Y01,Steering lower axle,1,Y02100006
21,3400108-Y01,Lower shaft shield steering column,1,Y02100006
21,3400108Y0210,Lower shaft shield steering column,1,Y02100006
22,3400104-Y01,Steering wheel assembly,1,Y02100006
23,3400106-Y01,Electric power steering column (EPS),1,Y02100006
23,3400106Y0210,Electric power steering column (EPS),1,Y02100006
,4003018Y0210LS,EPS Adapter Harness,1,Y02100006
24,3400141-Y01,Prevailing torque type all-metal hexagon nuts with flange,1,Y02100006
25,3400142-Y01,Universal joint steering column,1,Y02100006
26,3400143-Y01,Hexagon head bolt,2,Y02100006
27,3400144-Y01,Controller bracket,1,Y02100006
28,3400145-Y01,Controller,1,Y02100006
29,Q146B0612,Hexagon head bolt spring washer and plain washer assy,2,Y02100006
30,3400146-Y01,Motor,1,Y02100006
31,3400147-Y01,Hexagon bolt with flange,2,Y02100006
32,3400148-Y01,Electric steering column body,1,Y02100006
33,S18606003,Hexagon bolt with flange,2,Y02100006
1,3508101-Y01,Parking pedal,1,Y02100007
2,S32008001,hexagon nut with flange,3,Y02100007
3,3508102Y0210,Front section parking cable,1,Y02100007
4,3508103Y0210,Left parking cable,1,Y02100007
5,3508104Y0210,Right parking cable,1,Y02100007
6,3506048Y0210,Spring retainer ring parking wire-drawing,1,Y02100007
7,S50108001,Locking pin,1,Y02100007
8,S18406003,Hexagon bolt with flange,3,Y02100007
1,3540103Y0211,Electronic vacuum pump,1,Y02100008
2,3540104Y0211,Vent hose electronic vacuum pump,1,Y02100008
3,Q402B06,gasket,2,Y02100008
4,3540102Y0211,vacuum tank,1,Y02100008
5,3540108Y0211,Vacuum tank bracket,1,Y02100008
6,Q1840645,Hexagon bolt with flange,4,Y02100008
7,3540106Y0210,Vacuum sensor,1,Y02100008
8,3540105Y0210,vacuum hose,1,Y02100008
1,3540101Y0210,Vacuum booster,1,Y02100009
2,S51008001,Axis pin,1,Y02100009
3,S50108001,Locking pin,1,Y02100009
4,3504101Y0205,Brake pedal assy,1,Y02100009
5,S32008001,hexagon nut with flange,4,Y02100009
6,Q1840820,Hexagon bolt with flange,2,Y02100009
7,3506101Y0210,Master cylinder to ABS pipe (1st chamber),1,Y02100009
8,3506102Y0210,Master cylinder to ABS pipe (2nd chamber),1,Y02100009
9,3506109Y0210,Front left brake pipe,1,Y02100009
10,3506111Y0210,Front right brake pipe,1,Y02100009
11,3506115Y0210,Front section rear left brake pipe,1,Y02100009
12,3506114Y0210,Front section rear right brake pipe,1,Y02100009
13,3506122Y0210,Rear section rear left brake pipe,1,Y02100009
14,3506121Y0210,Rear section rear right brake pipe,1,Y02100009
15,3506113Y0210,Double-hole pipe clip,4,Y02100009
16,3506116Y0210,Single hole pipe clip,4,Y02100009
17,3550300-Y01,Front wheel speed sensor,2,Y02100009
18,3550302-Y01,Front wheel speed sensor bracket,2,Y02100009
19,S18608009,Hexagon bolt with flange,4,Y02100009
20,S18606003,Hexagon bolt with flange,2,Y02100009
21,S32006003,hexagon nut with flange,2,Y02100009
22,3550400-Y01,Rear wheel speed sensor,2,Y02100009
23,S18606003,Hexagon bolt with flange,2,Y02100009
24,3506104Y0210,Front brake hose,2,Y02100009
25,3506112Y0210,rear brake hose,2,Y02100009
26,3506106Y0210,Punched bolts,4,Y02100009
27,3506107Y0210,Sealing washer,8,Y02100009
28,3506105Y0210,Spring retainer ring brake hose,4,Y02100009
29,3550101-Y01,ABS controller,1,Y02100009
30,3550111-Y01,Mounting sleeve ABS controller,1,Y02100009
1,3926010-Y01,Warning triangles,1,Y02100010
2,3926020-Y01,Reflective vest,1,Y02100010
,2101000Y0210,Power Battery Assy,,Y02100011
3,2101020Y0210,Power battery module,3,Y02100011
