codice,descrizione,quantita,id,esploso
1108001-Y01,Acceleration System,1,,Y01001
1108010-Y01,Electrical accelerator pedal,1,1,Y01001
Q1860625,Hexagon bolt with flange,3,2,Y01001
2101000-Y01,Power battery assy,,,Y01002
2101000-Y0201,Power Battery Assy (with battery lock) (ENI customized version),,,Y01002
2101010-Y01,Power battery box,1,1,Y01002
2101010Y0201,Power battery box,,,Y01002
2101013-Y01,Anti-friction bushing,6,1-2,Y01002
2101017-Y01,Anti-theft bolt  battery box,2,1-3,Y01002
2101018-Y01,Cover plate  battery box,1,1-4,Y01002
2101018Y0201,Cover plate  battery box (with battery lock） (ENI customized version),,,Y01002
2101019-Y01,Battery positive wire harness,1,1-5,Y01002
210101A-Y01,Battery negative wiring harness,1,1-6,Y01002
210101B-Y01,Battery box fast-plug,1,1-7,Y01002
210101C-Y01,Battery box communication wiring harness,1,1-8,Y01002
210101H-Y01,Module connecting line,2,1-9,Y01002
Q174B0614T1F,M6*14-304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,6,1-10,Y01002
Q174B0425T1F,M4* 25- 304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,12,1-11,Y01002
Q174B0410T1F,M4*10-304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,8,1-12,Y01002
5306142-Y01,Sponge strip (W12* T5)                  ,,1-13,Y01002
Q1461025,M10×25 Cross recessed hexagon bolt with indentation  single coil lock washer and plain washer assemblies,4,,Y01002
2101020-Y01,Power battery module,3,3,Y01003
2101011-Y01,Battery sampling unit（ BSU）,1,3-1,Y01003
2109013-Y01,Left mounting bracket  BSU        ,1,3-2,Y01003
2109014-Y01,Right mounting bracket  BSU,1,3-3,Y01003
2101030-Y01,Switching mode special socket ,1,,
2101030Y0201,Battery box assy (ENI customized version),1,,
Q174B0530T1F,M5*30-304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,4,,
Q174B0310T1F,M3*10-304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,3,,
2109010-Y01,Control box  power system (formerly HV box),1,4,Y01004
2109011-Y01,HV box casing,1,4-1,Y01004
2109211-Y01,HV box cover,1,4-2,Y01004
Q174B0410T1F,M4*10-304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,8,4-3,Y01004
2109012-Y01,+,1,4-4,Y01004
Q174B0416T1F,M4*16-304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,1,4-5,Y01004
Q304B04,Outer hexagonal nut,1,4-6,Y01004
2101012-Y01,HV sampling case,1,4-7,Y01004
Q174B0414T1F,M4* 14- 304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,4,4-8,Y01004
Q32004,Hexagon nut with flange,4,4-9,Y01004
2109015-Y01,150A relay,1,4-10,Y01004
Q174B0620T1F,M6* 20- 304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,2,4-11,Y01004
2109016-Y01,50A relay,1,4-12,Y01004
Q174B0620T1F,M6* 20- 304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,2,4-10,Y01004
S32006003,hexagon nut with flange,2,4-13,Y01004
2109017-Y01,20A relay,2,4-14,Y01004
Q174B0416T1F,M4*16-304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,4,4-5,Y01004
Q32004,Hexagon nut with flange,4,4-15,Y01004
2109018-Y01,300A 750V slow-blow fuse,1,4-16,Y01004
Q174B0818T1F,M8*18-304 Cross recessed outer hexagonal bolt  single coil lock washer and plain washer assemblies,2,4-17,Y01004
2109119-Y01,50A 750V slow-blow fuse,1,4-18,Y01004
